0.0006301403045654297,4.355,0.044
900.102292060852,4.115,0.041
1800.203936100006,4.018,0.04
2700.30557847023,3.939,0.039
3600.3186209201813,3.866,0.039
4500.420263767242,3.807,0.038
5400.521888494492,3.754,0.038
6300.5717420578,3.719,0.037
7200.580264091492,3.675,0.037
8100.6818652153015,3.646,0.036
9000.783556222916,3.617,0.036
9900.847248077393,3.573,0.036
10800.928212881088,3.539,0.035
11701.030003070831,3.514,0.035
12601.038352966309,3.495,0.035
13501.139991998672,3.47,0.035
14401.241616487503,3.456,0.035
15301.246022701263,3.441,0.034
16201.2585003376,3.412,0.034
17101.360285520554,3.407,0.034
18001.363186836243,3.377,0.034
18901.46482872963,3.363,0.034
19801.566458702087,3.348,0.033
20701.58371925354,3.333,0.033
21601.68534731865,3.319,0.033
22501.69061923027,3.304,0.033
23401.792248249054,3.284,0.033
24301.81172156334,3.27,0.033
25201.9133579731,3.265,0.033
26101.919236898422,3.25,0.033
27001.928251981735,3.231,0.032
27901.981751441956,3.211,0.032
28802.083384275436,3.192,0.032
29702.095831394196,3.221,0.032
30602.102252483368,3.201,0.032
31502.203892230988,3.167,0.032
32402.30640387535,3.138,0.031
33302.408129930496,3.148,0.031
34202.4135324955,3.05,0.03
35102.51516747475,3.089,0.031
36002.58542108536,3.069,0.031
36902.68724822998,3.055,0.031
37802.78896164894,3.04,0.03
38702.89059925079,2.962,0.03
39602.94496178627,2.962,0.03
40503.04860806465,2.947,0.029
41403.15032744408,2.952,0.03
42303.25196838379,2.923,0.029
43203.25478506088,2.908,0.029
44103.264342069626,2.874,0.029
45003.36597633362,2.874,0.029
45903.37903928757,2.854,0.029
46803.48080444336,2.81,0.028
47703.582460165024,2.791,0.028
48603.58840894699,2.757,0.028
49503.69005513191,2.727,0.027
50403.79167819023,2.683,0.027
51303.85725593567,2.644,0.026
52203.87828755379,2.605,0.026
53103.97991204262,2.546,0.025
54004.08157658577,2.463,0.025
54904.183213710785,0.464,0.005
